"SamAccountName","Description","OfficePhone","Surname","UserPrincipalName","GivenName","Name","Company","City","Department","DisplayName"
"TEikmeier","Spiceworld Demo","1001","Eikmeier","TEikmeier@company.pri","Tyree","Tyree Eikmeier","Company.com","Chicago","Development","Tyree Eikmeier"
"MStovall","Spiceworld Demo","1002","Stovall","MStovall@company.pri","Myles","Myles Stovall","Company.com","Chicago","Product Development","Myles Stovall"
"SDearring","Spiceworld Demo","1003","Dearring","SDearring@company.pri","Shelby","Shelby Dearring","Company.com","Miami","Product Development","Shelby Dearring"
"LGneiser","Spiceworld Demo","1004","Gneiser","LGneiser@company.pri","Lawerence","Lawerence Gneiser","Company.com","Chicago","Payroll","Lawerence Gneiser"
"CLamborne","Spiceworld Demo","1005","Lamborne","CLamborne@company.pri","Charley","Charley Lamborne","Company.com","Chicago","Maintenance","Charley Lamborne"
"JMarcus","Spiceworld Demo","1006","Marcus","JMarcus@company.pri","Jerald","Jerald Marcus","Company.com","Chicago","Finance Services","Jerald Marcus"
"SLaske","Spiceworld Demo","1007","Laske","SLaske@company.pri","Sergio","Sergio Laske","Company.com","San Diego","Customer Service","Sergio Laske"
"EEssaid","Spiceworld Demo","1008","Essaid","EEssaid@company.pri","Emil","Emil Essaid","Company.com","New York City","Human Resources","Emil Essaid"
"LHoen","Spiceworld Demo","1009","Hoen","LHoen@company.pri","Lance","Lance Hoen","Company.com","San Diego","Manufacturing","Lance Hoen"
"TPalermo","Spiceworld Demo","1010","Palermo","TPalermo@company.pri","Tyree","Tyree Palermo","Company.com","New York City","HR","Tyree Palermo"
"DBarberr","Spiceworld Demo","1011","Barberr","DBarberr@company.pri","Derick","Derick Barberr","Company.com","San Diego","Customer Service","Derick Barberr"
"WMelle","Spiceworld Demo","1012","Melle","WMelle@company.pri","Willis","Willis Melle","Company.com","San Diego","Consumer Affairs","Willis Melle"
"CGoodnough","Spiceworld Demo","1013","Goodnough","CGoodnough@company.pri","Christopher","Christopher Goodnough","Company.com","New York City","Marketing","Christopher Goodnough"
"GKawski","Spiceworld Demo","1014","Kawski","GKawski@company.pri","Gil","Gil Kawski","Company.com","Miami","Executive","Gil Kawski"
"ERepke","Spiceworld Demo","1015","Repke","ERepke@company.pri","Erwin","Erwin Repke","Company.com","San Diego","Engineering","Erwin Repke"
"BLandfried","Spiceworld Demo","1016","Landfried","BLandfried@company.pri","Brandon","Brandon Landfried","Company.com","Chicago","Finance Services","Brandon Landfried"
"ALovejoy","Spiceworld Demo","1017","Lovejoy","ALovejoy@company.pri","Adolfo","Adolfo Lovejoy","Company.com","New York City","Consumer Affairs","Adolfo Lovejoy"
"DLebeau","Spiceworld Demo","1018","Lebeau","DLebeau@company.pri","Daron","Daron Lebeau","Company.com","New York City","Maintenance","Daron Lebeau"
"LBartula","Spiceworld Demo","1019","Bartula","LBartula@company.pri","Laverne","Laverne Bartula","Company.com","Miami","IT","Laverne Bartula"
